rank,point_index,x,y,chi_square_distance
1,90,109,90,0.12833235
2,80,109,86,0.14590560
3,75,110,84,0.15128048
4,122,141,104,0.15706490
5,57,107,77,0.19046208
6,98,141,93,0.21927364
7,105,143,96,0.22599070
8,134,152,110,0.23500949
9,49,112,74,0.23833322
10,65,136,80,0.24131757
11,88,148,89,0.24151558
12,70,137,82,0.24480829
13,93,150,91,0.25043830
14,120,154,103,0.25454167
15,60,136,78,0.25456430
16,140,147,116,0.26036843
17,44,110,72,0.26077687
18,52,131,75,0.26117122
19,83,146,87,0.26464575
20,138,150,113,0.26492464
21,103,156,95,0.27991920
22,78,148,85,0.28071165
23,141,152,118,0.28887261
24,42,128,71,0.31953003
25,36,122,68,0.34817205
26,47,140,73,0.35178911
27,40,137,70,0.35677494
28,145,148,125,0.35904023
29,38,133,69,0.37494598
30,29,120,64,0.38738568
31,55,147,76,0.39124107
32,73,154,83,0.40513257
33,118,166,102,0.41032516
34,31,136,65,0.41545297
35,148,152,133,0.43355505
36,129,177,107,0.44497981
37,116,171,101,0.44626355
38,149,146,136,0.44962542
39,131,180,108,0.45154532
40,127,181,106,0.45199512
41,101,171,94,0.48126262
42,26,140,62,0.48312818
43,114,175,100,0.49850976
44,112,175,99,0.50167741
45,125,188,105,0.50174948
46,137,191,112,0.50941811
47,96,174,92,0.51129517
48,45,155,72,0.51990947
49,33,151,66,0.53012236
50,110,185,98,0.53301282
51,86,172,88,0.53686922
52,22,141,59,0.53742740
53,9,92,36,0.54030248
54,68,168,81,0.54425333
55,8,92,33,0.54549417
56,17,131,54,0.54716161
57,50,161,74,0.54743678
58,10,102,38,0.54754069
59,108,184,97,0.54815562
60,123,195,104,0.55292337
61,35,160,67,0.55435800
62,14,121,47,0.55526675
63,15,131,49,0.56488011
64,63,167,79,0.56587214
65,58,167,77,0.56809988
66,151,151,147,0.56952200
67,81,175,86,0.57162617
68,106,194,96,0.58239250
69,76,174,84,0.58344752
70,99,186,93,0.59451745
71,133,198,109,0.59668782
72,13,129,45,0.59848751
73,153,142,154,0.59974294
74,28,160,63,0.60082470
75,94,194,91,0.60460252
76,16,139,51,0.60765792
77,91,181,90,0.61941648
78,12,128,43,0.62231182
79,25,161,61,0.62524188
80,21,154,58,0.62580766
81,84,189,87,0.62698287
82,18,148,55,0.63019293
83,143,208,121,0.63153230
84,71,183,82,0.63499432
85,139,208,114,0.63797906
86,154,135,158,0.63817490
87,37,170,68,0.64348532
88,66,184,80,0.65024480
89,79,192,85,0.65056024
90,53,174,75,0.65229440
91,74,194,83,0.65854034
92,119,206,102,0.66383797
93,43,173,71,0.66596502
94,155,149,161,0.66628018
95,121,203,103,0.66789872
96,136,211,111,0.67118885
97,11,140,40,0.67334763
98,61,186,78,0.67353226
99,7,116,30,0.67488157
100,89,199,89,0.68050714
101,147,211,130,0.68183139
102,56,188,76,0.70468630
103,104,205,95,0.70559183
104,156,140,164,0.70948041
105,48,189,73,0.71132903
106,150,214,143,0.71305362
107,6,120,26,0.71690927
108,146,214,127,0.71794150
109,117,215,101,0.71915347
110,157,16,167,0.72030582
111,41,186,70,0.73349390
112,102,212,94,0.73825924
113,159,43,184,0.74037061
114,97,211,92,0.74489865
115,0,5,1,0.75114578
116,5,82,8,0.75711872
117,87,212,88,0.77118013
118,30,188,64,0.77259181
119,152,227,150,0.78315995
120,64,208,79,0.78942680
121,82,214,86,0.80102882
122,39,200,69,0.80842854
123,115,225,100,0.81088425
124,77,217,84,0.81755957
125,1,110,2,0.81993298
126,158,225,169,0.82092534
127,46,205,72,0.82211192
128,92,220,90,0.82675832
129,130,230,107,0.82889768
130,69,213,81,0.83164025
131,59,213,77,0.83273400
132,144,236,122,0.83988458
133,51,212,74,0.84374219
134,142,235,119,0.85119048
135,24,201,60,0.85505962
136,32,208,65,0.85742912
137,128,234,106,0.86066891
138,132,237,108,0.86246653
139,72,223,82,0.86251648
140,54,221,75,0.86374088
141,27,218,62,0.87836687
142,20,209,57,0.87849010
143,19,212,56,0.87874310
144,34,217,66,0.87893654
145,126,238,105,0.88049711
146,4,164,6,0.88616952
147,23,225,59,0.89874500
148,135,240,110,0.89921694
149,124,241,104,0.90661170
150,2,142,3,0.91474682
151,95,238,91,0.91774943
152,113,238,99,0.92028507
153,100,239,93,0.92229069
154,109,239,97,0.92470008
155,3,209,4,0.92671067
156,111,240,98,0.92855456
157,62,237,78,0.93235095
158,85,243,87,0.95325871
159,67,255,80,0.97700233
