pair,point_index,x,y,k,h_i(k),h_j(k),numerator,denominator,0.5*numerator/denominator
most_similar,90,109,90,1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,3,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,6,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,7,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,9,0.00000000,0.00666667,0.00004444,0.00666667,0.00333333
most_similar,90,109,90,10,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,11,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,13,0.00632911,0.00666667,0.00000011,0.01299578,0.00000438
most_similar,90,109,90,14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,15,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,17,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,19,0.00632911,0.00000000,0.00004006,0.00632911,0.00316456
most_similar,90,109,90,20,0.01265823,0.00000000,0.00016023,0.01265823,0.00632911
most_similar,90,109,90,21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,22,0.00632911,0.01333333,0.00004906,0.01966245,0.00124753
most_similar,90,109,90,23,0.01898734,0.00000000,0.00036052,0.01898734,0.00949367
most_similar,90,109,90,24,0.01898734,0.00000000,0.00036052,0.01898734,0.00949367
most_similar,90,109,90,25,0.01898734,0.02666667,0.00005897,0.04565401,0.00064586
most_similar,90,109,90,26,0.02531646,0.00000000,0.00064092,0.02531646,0.01265823
most_similar,90,109,90,27,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,29,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,30,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,31,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,32,0.00632911,0.00000000,0.00004006,0.00632911,0.00316456
most_similar,90,109,90,33,0.02531646,0.00000000,0.00064092,0.02531646,0.01265823
most_similar,90,109,90,34,0.04430380,0.00666667,0.00141655,0.05097046,0.01389583
most_similar,90,109,90,35,0.03164557,0.05333333,0.00047036,0.08497890,0.00276751
most_similar,90,109,90,36,0.03164557,0.05333333,0.00047036,0.08497890,0.00276751
most_similar,90,109,90,37,0.07594937,0.10000000,0.00057843,0.17594937,0.00164375
most_similar,90,109,90,38,0.00632911,0.04000000,0.00113373,0.04632911,0.01223560
most_similar,90,109,90,39,0.03797468,0.01333333,0.00060720,0.05130802,0.00591717
most_similar,90,109,90,40,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,41,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,42,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,43,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,44,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,45,0.03797468,0.02000000,0.00032309,0.05797468,0.00278647
most_similar,90,109,90,46,0.03797468,0.04000000,0.00000410,0.07797468,0.00002630
most_similar,90,109,90,47,0.03164557,0.03333333,0.00000285,0.06497890,0.00002192
most_similar,90,109,90,48,0.15822785,0.12000000,0.00146137,0.27822785,0.00262621
most_similar,90,109,90,49,0.13924051,0.22000000,0.00652210,0.35924051,0.00907762
most_similar,90,109,90,50,0.00632911,0.00000000,0.00004006,0.00632911,0.00316456
most_similar,90,109,90,51,0.00000000,0.01333333,0.00017778,0.01333333,0.00666667
most_similar,90,109,90,52,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,53,0.01265823,0.01333333,0.00000046,0.02599156,0.00000877
most_similar,90,109,90,54,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,55,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,56,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_similar,90,109,90,57,0.01265823,0.00666667,0.00003590,0.01932489,0.00092882
most_similar,90,109,90,58,0.01265823,0.01333333,0.00000046,0.02599156,0.00000877
most_similar,90,109,90,59,0.00632911,0.01333333,0.00004906,0.01966245,0.00124753
most_similar,90,109,90,60,0.17088608,0.18666667,0.00024903,0.35755274,0.00034824
most_different,67,255,80,1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,3,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,5,0.00000000,0.00740741,0.00005487,0.00740741,0.00370370
most_different,67,255,80,6,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,7,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,9,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,10,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,11,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
most_different,67,255,80,13,0.00632911,0.00000000,0.00004006,0.00632911,0.00316456
most_different,67,255,80,14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
